1	size:32	 linkid:19646	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
2	size:32	 linkid:19645	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
3	size:32	 linkid:19644	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
4	size:32	 linkid:19643	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
5	size:32	 linkid:19642	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
6	size:32	 linkid:19641	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
7	size:32	 linkid:19640	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
8	size:26	 linkid:17681	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
9	size:26	 linkid:17680	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
10	size:26	 linkid:17679	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
11	size:26	 linkid:17678	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
12	size:26	 linkid:17677	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
13	size:30	 linkid:14280	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪杭高速公路
14	size:30	 linkid:14279	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪杭高速公路
15	size:30	 linkid:14278	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪杭高速公路
16	size:30	 linkid:14277	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪杭高速公路
17	size:30	 linkid:14276	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪杭高速公路
18	size:30	 linkid:14275	 nameSize:16	 class:4	 branch:0	 flag:1	 name:１＝沪杭高速公路
19	size:26	 linkid:6187	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
20	size:26	 linkid:6186	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
21	size:26	 linkid:6185	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
22	size:26	 linkid:6184	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
23	size:26	 linkid:6183	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
24	size:26	 linkid:6182	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
25	size:26	 linkid:6181	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
26	size:26	 linkid:6180	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
27	size:26	 linkid:6179	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
28	size:26	 linkid:6178	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
29	size:26	 linkid:6177	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
30	size:26	 linkid:6176	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
31	size:26	 linkid:6175	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
32	size:26	 linkid:6174	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
33	size:26	 linkid:6173	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
34	size:26	 linkid:6172	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
35	size:26	 linkid:6171	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
36	size:26	 linkid:6170	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
37	size:26	 linkid:6169	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
38	size:26	 linkid:6168	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
39	size:26	 linkid:6167	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
40	size:26	 linkid:6166	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
41	size:26	 linkid:6165	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
42	size:26	 linkid:6164	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
43	size:26	 linkid:6163	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
44	size:26	 linkid:6162	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
45	size:26	 linkid:6161	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
46	size:26	 linkid:6160	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
47	size:26	 linkid:6159	 nameSize:12	 class:4	 branch:0	 flag:1	 name:１＝同三高速
48	size:32	 linkid:6158	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
49	size:32	 linkid:6157	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
50	size:32	 linkid:6156	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
51	size:32	 linkid:6155	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
52	size:32	 linkid:6154	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
53	size:32	 linkid:6153	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
54	size:32	 linkid:6152	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
55	size:32	 linkid:6151	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
56	size:32	 linkid:6150	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
57	size:32	 linkid:6149	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
58	size:32	 linkid:6148	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
59	size:32	 linkid:6147	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
60	size:32	 linkid:6146	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
61	size:32	 linkid:6145	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
62	size:32	 linkid:6144	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
63	size:32	 linkid:6143	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
64	size:32	 linkid:6142	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
65	size:32	 linkid:6141	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝莘奉金高速公路
66	size:32	 linkid:6140	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
67	size:32	 linkid:6139	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
68	size:32	 linkid:6138	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
69	size:32	 linkid:6137	 nameSize:18	 class:4	 branch:0	 flag:1	 name:１＝沪青平高速公路
